"term","definition","FNA_ID"
"abaxial","On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.","465171d3-7d36-41b9-b93d-bdf8ca3e7a2c"
"abaxial","On or pertaining to the side or portion of a lateral structure that faces (or would face) away from the bearing axis when (or if) the axis of the lateral structure is (or were) oriented in the same general direction as the bearing axis.","39580d9b-45e3-44d9-905c-7670cef151ff"
"abortive","Never attaining functional maturity due to defective or arrested development.","0757c044-a9fa-467a-9df5-16eb8a927d58"
"abrupt","Having a distal boundary that is generally straight or plane and approximately perpendicular to the central axis.","658690d5-4c09-4c7b-9c0a-ec3864b70b8d"
"absent","Not occurring within the context in point.","ba0da2b4-1f21-4640-9651-27e7e5b01629"
"acaulous","Lacking any evident, elongate, aboveground stem, other than reproductive axes, at maturity, the leaves and/or reproductive axes arising essentially at substrate level from a very short axis with highly congested nodes.","115be011-5f4d-4577-af1e-2c08b73ef1b5"
"accessory cell","One of the cytologically distinctive epidermal cells that are sometimes present in a stomate and that surround and are regularly oriented in relation to the guard cells.","61b5dd34-1bd0-4fd7-9603-7558a0e682e6"
"accessory fruit","Simple or compound and including some tissue of non-ovarian origin (accessory tissue).","dd7046cb-21f6-4631-b5a6-1aa46e149660"
"accrescent","Increasing further in size after the bearing structure has become functionally mature; esp. a calyx after anthesis.","33762e02-3252-4ed6-b236-a4202a969299"
"accumbent","Having the two cotyledons facing and parallel (adaxial surfaces contiguous) and recurved together, one lateral edge of each abutting the hypocotyl and radicle.","e0ddd0a5-45e5-4658-8913-6814c9893383"
"acephalous","Not terminated or surmounted by a head-like structure, esp. when one might be expected.","5c3ed604-7ea2-4786-aaa8-bc374d645a56"
"acephalous","Not terminating in a head-like portion, esp. when one might be expected.","c7ed554a-daf3-4e2e-a704-e3ecc14d5393"
"acerose","Rounded in cross-section and very slenderly elongate, broadest near the middle, and gradually attenuate to an acute apex and a slightly blunter base; like a needle.","b30cb16a-c2f1-4c7f-80dd-c517d99aae5f"
