term,synonym,id,remark
absence,"absent",11,
absence,"missing",11,
abundance,"abundant",12,
acute_angular,"acute_angulate",21,
adult,"adults",28,
advance,"advanced",29,
advance,"advancing",29,
aedeagalvolsellar,"aedeago_volsellar",31,
align,"aligned",37,
alitrunk,"alitrunkal",39,
analfin,"anal_fin",52,
angle,"angles",56,
angle_like,"angled",57,
angle_like,"angling",57,
angle_like,"angular",57,
angle_like,"angulate",57,
angle_like,"angulated",57,
antenna,"antennae",62,
antenna,"antennas",62,
anterio_basal,"antero_basal",67,
anterior_ventral,"anterioventrad",70,
anterior_ventral,"anteroventral",70,
anterodorsal,"anterior_dorsal",74,
anteroinferior,"antero_inferior",75,
apex,"apexes",81,
apex,"apices",81,
apical,"apicad",82,
appendage,"appendages",92,
arc,"arched",99,
arc,"arching",99,
arc,"arcing",99,
arcuate,"arcuated",104,
area,"areas",105,
arranged,"arrangement",115,
articulate,"articulatory",118,
attenuate,"attenuated",131,
backward,"backwards",139,
band,"bands",143,
base,"bases",152,
bend,"bending",164,
bend,"bent",164,
bend,"bends",164,
bicolored,"bicolorous",169,
bicolored,"bicoloured",169,
bifurcates,"bifurcating",175,
big,"bigest",177,
big,"bigger",177,
bilobate,"bilobed",179,
bilobate,"bilobose",179,
bilobate,"bilobous",179,
bisected,"bisects",180,
black,"blackened",185,
black,"blacker",185,
black,"blackish",185,
black,"coal_black",185,
bladelike,"blade_like",189,
bladelike,"bladeshaped",189,
blotch,"blotches",196,
blue,"bluish",198,
bluish_green,"bluish_greenish",200,
blunt,"blunted",201,
blunt,"blunter",201,
border,"borders",208,
bordered,"bordering",209,
box_shaped,"boxlike",214,
branched,"branching",216,
bright,"brighter",224,
bright,"brightest",224,
bright,"brightness",224,
broadened,"broadening",230,
broadened,"broadest",230,
broadened,"broader",230,
brown,"brownish",235,
brown,"browns",235,
brown,"colorbrown",235,
brown_black,"brownish_black",236,
brown_yellow,"brownish_yellow",237,
brown_yellow,"brownyellowish",237,
bulge,"bulging",244,
c_shape,"c_shaped",247,
carinate,"carinated",260,
carinate,"carinulate",260,
carinate,"carinulation",260,
carinule,"carinulae",261,
cell,"cells",270,
center,"centered",271,
center,"central",271,
cheek,"cheeks",280,
chestnut,"chestnut_brown",281,
chestnut,"chestnutred",281,
ciliary,"ciliated",289,
clavate,"claviform",298,
clean,"cleaner",301,
cloud,"clouded",315,
cluster,"clusters",318,
coarse,"coarseness",323,
coarse,"coarser",323,
coarse,"coarsest",323,
color,"colored",330,
color,"colour",330,
color,"coloured",330,
color,"colouring",330,
colorless,"colourless",331,
common,"commonest",335,
conic,"conical",361,
connected,"connecting",363,
continguous,"contiguous",372,
contrast,"contrasting",378,
converge,"convergent",380,
converge,"converging",380,
copper,"coppery",384,
corner,"corners",391,
coxa,"coxae",408,
cream_colored,"creamcoloured",411,
cream_colored,"creamish",411,
cream_colored,"creamy",411,
crenulate,"crenulated",413,
crescent_shaped,"crescentic",414,
crest,"crests",416,
cubic,"cubical",424,
cubic,"cubital",424,
cubic,"cuboidal",424,
curve,"curved",432,
curve,"curving",432,
cuticle,"cuticular",436,
cylindric,"cylindrical",437,
dark,"dark_colored",439,
dark,"darkened",439,
dark,"darkening",439,
dark,"darker",439,
dark,"darker_coloured",439,
dark,"darkest",439,
declivitous,"declivious",445,
declivitous,"declivous",445,
deep,"deepening",452,
deep,"deeper",452,
