"term","category","hassyn"
"S-shaped","shape",0
"U-form","arrangement",0
"V-form","arrangement",0
"adelphous","architecture",0
"androus","architecture",0
"angled","shape",0
"angular","arrangement",0
"branched","architecture",0
"carpellate","architecture",0
"carpelled","architecture",0
"celled","architecture",0
"cellular","architecture",0
"cephalous","architecture",0
"ciliate","architecture",0
"cleft","shape",0
"colpate","architecture",0
"colporate","architecture",0
"crenate","shape",0
"cyclic","arrangement",0
"dentate","shape",0
"digitate","architecture",0
"faced","shape",0
"floral","architecture",0
"flowered","architecture",0
"foliate","architecture",0
"foliolate","architecture",0
"fossulate","architecture",0
"furrowed","architecture",0
"gonal","shape",0
"gonous","shape",0
"grooved","architecture",0
"gynous","architecture",0
"headed","architecture",0
"leafleted","architecture",0
"leaved","architecture",0
"lobate","shape",0
"lobed","shape",0
"locular","architecture",0
"loculed","architecture",0
"merous","architecture",0
"morphic","architecture",0
"ovulate","architecture",0
"ovuled","architecture",0
"palmate","architecture",0
"parted","shape",0
"partite","shape",0
"petaled","architecture",0
"petalous","architecture",0
"pinnate","architecture",0
"pistillate","architecture",0
"pistilled","architecture",0
"porate","architecture",0
"pterous","architecture",0
"ranked","arrangement",0
"sawtoothed","shape",0
"scalloped","shape",0
"seeded","architecture",0
"sepaled","architecture",0
"sepalous","architecture",0
"serrate","shape",0
"spermous","architecture",0
"stamened","architecture",0
"stichous","arrangement",0
"styled","architecture",0
"stylous","architecture",0
"sulcate","architecture",0
"tepaled","architecture",0
"tepalous","architecture",0
"toothed","shape",0
"topped","shape",0
"valleculate","architecture",0
"verticillate","arrangement",0
"whorled","arrangement",0
"winged","architecture",0
"abaxial","position",0
"abortive","maturation",0
"abrupt","shape",0
"abscising","behaviour",0
"abscission","behaviour",0
"absent","count",0
"abundant","count",0
"acaulescent","architecture",0
"acaulous","architecture",0
"accumbent","arrangement",0
"acephalous","architecture",0
"acephalous","shape",0
"acerose","shape",0
"acetabuliform","shape",0
"achlamydeous","architecture",0
"acicular","shape",0
"acinaciform","shape",0
"acrid","odor",0
"acrid","taste",0
"acrocaulous","position",0
"acrodromous","venation",0
"acropetal","development",0
"acroramous","architecture",0
"acroscopic","orientation",0
"actinocytic","architecture",0
"actinodromous","venation",0
"actinomorphic","architecture",0
"aculeate","shape",0
"acuminate","shape",0
"acute","shape",0
"acute-acuminate","shape",0
"acutish","shape",0
"acyclic","arrangement",0
"adaxial","position",0
"adenopetalous","architecture",0
"adenopetalous","derivation",0
"adherent","fusion",0
"adjacent","arrangement",0
"adnate","fusion",0
"adult","life_stage",0
"adulthood","life_stage",0
"fid","shape",0
"seriate","architecture",0
"aerial-rooted","architecture",0
"agamospermous","reproduction",0
"aged","life_stage",0
