"term","category","hassyn"
"anopole_nus","structure",1
"agnostinae","structure",0
"abathochroal","architecture",0
"angularity","orientation",0
"annulation","architecture",0
"arthropod","structure",0
"arthropods","structure",0
"axis","structure",0
"baccula","structure",0
"band","structure",0
"bands","structure",0
"areas","structure",0
"arcuate","shape",0
"clarella","structure",0
"branches","structure",0
"branch","structure",0
"axial","position",0
"belliceps","structure",0
"basic","prominence",0
"border","structure",0
"centropleura","structure",0
"depression","structure",0
"doublure","structure",0
"drepanopyge","structure",0
"eccaparadoxides","structure",0
"edge","structure",0
"ellipsocephaloidea","structure",0
"middle","structure",0
"metaredlichia","structure",0
"metadoxides","structure",0
"meraspis","structure",0
"meraspi","structure",0
"mayiella","structure",0
"margins","structure",0
"margin","structure",0
"lobes","structure",0
"lobe","structure",0
"conical","shape",0
"innitagnostus","structure",0
"inella","structure",0
"impressed","shape",0
"f3","structure",0
"f2","structure",0
"f1","structure",0
"eyes","structure",0
"continuous","arrangement",0
"eye","structure",0
"aperture","structure",0
"anteroaxis","structure",0
"cranidium","structure",0
"acrolobes","structure",0
"acrolobe","structure",0
"acadoparadoxides","structure",0
"adult","life_stage",0
"striations","architecture",0
"nodes","structure",0
"node","structure",0
"swelling","architecture",0
"cylindrical","shape",0
"rib","structure",0
"s3","structure",0
"rhaptagnostus","structure",0
"polygons","architecture",0
"polygon","architecture",0
"deuterolobe","structure",0
"peronopsis","structure",0
"no","count",0
"natant","habit",0
"multisegmented","pattern",0
"notch","structure",0
"mouth","structure",0
"molds","structure",0
"modified","development",0
"moderate","variability",0
"midlength","architecture",0
"mold","structure",0
"disc","architecture",0
"discontinuous","arrangement",0
"dolerolenus","structure",0
"distal","position",0
"oodiscus","structure",0
"opisthoparian","structure",0
"extremities","structure",0
"opisthothorax","structure",0
"pagetia","structure",0
"markings","architecture",0
"palpebral","structure",0
"marginal","position",0
"equal","variability",0
"flanks","structure",0
"expanding","size",0
"lost","prominence",0
"macropleurae","structure",0
"long","length",0
"m1","structure",0
"fixigenae","structure",0
"m2","structure",0
"face","structure",0
"macu_lae","structure",1
"hypostome","structure",0
"line","structure",0
"gena","structure",0
"librigenal","position",0
"limb","structure",0
"librigenae","structure",0
"librigena","structure",0
"least","prominence",0
"large","size",0
"l1","structure",0
"l2","structure",0
"l3","structure",0
"k","structure",0
"isopygous","condition",0
"intranotular","position",0
"hongshiyanaspis","structure",0
"interpleural","position",0
"intergenal","position",0
"ivshin","structure",0
"glabellar","position",0
"keel","structure",0
"incomplete","development",0
"incipient","prominence",0
"in_dentations","structure",1
"kingstoniidae","structure",0
"knobs","structure",0
"l4","structure",0
"la","structure",0
"lense","structure",0
"holotype","architecture",0
"hexagon","architecture",0
"lines","structure",0
"lirae","structure",0
"macropleural","structure",0
"narrow","width",0
"hindmost","position",0
"hexagonal","shape",0
"half","variability",0
"base","structure",0
"bases","structure",0
"angulate","shape",0
"advanced","development",0
"holaspi","structure",0
"granulose","external texture",0
"granules","architecture",0
"granule","architecture",0
"groove","structure",0
"grooves","structure",0
"holaspides","structure",0
"holaspis","structure",0
"constricted","size",0
"fixigenal","orientation",0
"gap","structure",0
"cu_ticle","structure",1
"cranidial","structure",0
"collar","structure",0
"cephalothoracic","architecture",0
"circumocular","architecture",0
"close","position",0
"l","structure",0
"galbagnostus","structure",0
"fossula","structure",0
"flasklike","shape",0
"lenses","structure",0
"furrowed","architecture",0
"hypagnostus","structure",0
"fulcral","position",0
"front","position",0
"fourth","count",0
"fulcrum","structure",0
"furrow","structure",0
"furrows","structure",0
"falcate","shape",0
"genae","structure",0
"genera","structure",0
"limbs","structure",0
"facet","structure",0
"facets","structure",0
"fallotaspidoidea","structure",0
"field","structure",0
"fields","structure",0
"fixigena","structure",0
"mallagnostus","structure",0
"extraocular","position",0
"flange","structure",0
"expanded","size",0
"kepingaspis","structure",0
"eodiscoid","architecture",0
"enlargement","size",0
"end","structure",0
"effaced","prominence",0
"ends","structure",0
"lunate","shape",0
"eoredlichia","structure",0
"exoskeleton","structure",0
"downsloping","orientation",0
"dorsal","position",0
"extremity","structure",0
"divergent","course",0
"developed","development",0
"ditto","structure",0
"deuterolobate","shape",0
"depressions","architecture",0
"macrospinose","architecture",0
"denticles","architecture",0
"deliquiate","architecture",0
"curved","shape",0
"culmination","architecture",0
"d","structure",0
"depressed","shape",0
"corynexochidae","structure",0
"corynexochida","structure",0
"closer","arrangement",0
"concave","shape",0
"connective","structure",0
"medium","size",0
"pagetium","structure",0
"caecal","position",0
"cheeks","structure",0
"cheek","structure",0
"boundaries","architecture",0
"cephalon","structure",0
"centropleuridae","structure",0
"cambrian","structure",0
"midmost","location",0
"bispinose","shape",0
"biramous","shape",0
"betwen","position",0
"bertillon","pattern",0
"bent","shape",0
"bending","shape",0
"body","structure",0
"bella","structure",0
"basal","position",0
"borders","structure",0
"backswept","orientation",0
"bosses","structure",0
"axiolobate","shape",0
"agnostina","structure",0
"c","structure",0
"apodemal","architecture",0
"area","structure",0
"anterolateral","position",0
"anterior","position",0
"olenellina","structure",0
"nonscrobiculate","relief",0
"nonspinose","relief",0
"olenellinid","structure",0
"notular","position",0
"numbering","count",0
"occipital","position",0
"ocular","architecture",0
"portions","structure",0
"plectrum","structure",0
"one","count",0
"parts","structure",0
"part","structure",0
"paratypes","structure",0
"ornament","architecture",0
"ovate","shape",0
"paratype","structure",0
"paradoxididae","structure",0
"paradoublural","structure",0
"papilionate","shape",0
"parabadiella","structure",0
"parabolic","shape",0
"parabolical","shape",0
"piece","structure",0
"pit","structure",0
"pits","structure",0
"plate","structure",0
"perforations","architecture",0
"pleural","structure",0
"pleurae","structure",0
"pleura","structure",0
"pitlike","shape",0
"plutonides","structure",0
"portion","structure",0
"protaspides","structure",0
"protaspide","structure",0
"protaspi","structure",0
"prosopon","structure",0
"projection","structure",0
"posterior","position",0
"posteroaxis","structure",0
"protaspis","structure",0
"preglabellar","position",0
"procranidial","position",0
"projections","architecture",0
"pygidum","structure",0
"proparian","position",0
"pygidium","structure",1
"pygidia","structure",0
"py_gidium","structure",1
"pus_tules","structure",1
"pseudoresserops","structure",0
"pseudopalpebral","structure",0
"protrusion","structure",0
"pseudoborder","architecture",0
"pseudagnostines","structure",0
"saukianda","structure",0
"sized","size",0
"slit","structure",0
"postaxial","position",0
"pygidial","position",0
"rear","position",0
"rearwards","orientation",0
"redlichiina","structure",0
"redlich_iidae","structure",1
"regions","structure",0
"redlichia","structure",0
"region","structure",0
