term,category,hasSyn,id,ext_id,remark
abaxial,position,0,1,,
abortive,maturation,0,2,,
abrupt,shape,0,3,,
abscising,behaviour,1,4,,
absent,count,0,5,,
abundant,count,0,6,,
acaulescent,architecture,1,7,,
accessory_cell,structure,0,8,,
accessory_fruit,structure,0,9,,
accrescent,size,0,10,,
accumbent,arrangement,0,11,,
acephalous,architecture,0,12,,
acephalous,shape,0,13,,
acerose,shape,0,14,,
acetabuliform,shape,0,15,,
achene,structure,0,16,,
achlamydeous,architecture,0,17,,
acicular,shape,0,18,,
aciculate,coloration,0,19,,
acinaciform,shape,0,20,,
acorn,structure,0,21,,
acrid,odor,0,22,,
acrid,taste,0,23,,
acrocaulous,position,0,24,,
acrodromous,venation,0,25,,
acropetal,development,0,26,,
acroramous,architecture,0,27,,
acroscopic,orientation,0,28,,
actinocytic,architecture,0,29,,
actinodromous,venation,0,30,,
actinomorphic,architecture,0,31,,
aculeate,shape,0,32,,
aculeate,architecture,0,33,,
acute,shape,1,34,,
acyclic,arrangement,0,35,,
adaxial,position,0,36,,
adelphous,architecture,0,37,,
adenopetalous,architecture,0,38,,
adenopetalous,derivation,0,39,,
adherent,fusion,0,40,,
adjacent,arrangement,0,41,,
adnate,fusion,0,42,,
adult,life_stage,1,43,,
adventitious,derivation,0,44,,
adventitious_bud,structure,0,45,,
adventitious_root,structure,0,46,,
adventitous,architecture,0,47,,
aerial,location,0,48,,
aerial_root,structure,0,49,,
aerial-rooted,architecture,0,50,,
aestivation,character,0,51,,
agamospermous,reproduction,0,52,,
aged,life_stage,1,53,,
agglomerate,architecture,0,54,,
aggregate_fruit,structure,0,55,,
aggregated,arrangement,0,56,,
akene,structure,0,57,,
ala,structure,0,58,,
alae,structure,0,59,,
alate,architecture,0,60,,
albumen,structure,0,61,,
alete,architecture,0,62,,
aligned,arrangement,0,63,,
alike,variability,0,64,,
allagostemonous,architecture,0,65,,
allogamous,reproduction,0,66,,
allomictic,reproduction,0,67,,
almondy,taste,0,68,,
almondy,odor,0,69,,
alternate,arrangement,1,70,,
alveolate,relief,0,71,,
ament,structure,0,72,,
amentate,architecture,0,73,,
amphibious,habit,0,74,,
amphicarpic,architecture,1,75,,
amphimictic,reproduction,0,76,,
amphistomatic,architecture,1,77,,
amphitropous,orientation,0,78,,
amplexicaul,architecture,1,79,,
ampliate,size,0,80,,
ampulla,structure,1,81,,
ampulliform,shape,0,82,,
anadromous,venation,0,83,,
anastomosing,architecture,0,84,,
anatomy,character,0,85,,
anatropous,orientation,0,86,,
anchoring,habit,0,87,,
androdioecious,reproduction,0,88,,
androecia,structure,1,89,,
androecial_tube,structure,0,90,,
androgynecandrous,reproduction,0,91,,
androgynophore,structure,0,92,,
androgynous,reproduction,0,93,,
andromonoecious,reproduction,0,94,,
andropetalous,architecture,0,95,,
androphore,structure,0,96,,
androus,architecture,0,97,,
anemophilous,reproduction,0,98,,
angled,shape,1,99,,
angular,arrangement,0,100,,
anisocytic,architecture,0,101,,
anisopetalous,architecture,0,102,,
anisophyllous,architecture,0,103,,
anisosepalous,architecture,0,104,,
anisostemonous,architecture,0,105,,
annual,duration,0,106,,
annual,life_style,0,107,,
annuals,structure,0,108,,
annular,shape,0,109,,
annulate,architecture,0,110,,
annuli,structure,1,111,,
anomocytic,architecture,0,112,,
anthela,structure,1,113,,
anthelate,architecture,0,114,,
anther,structure,0,115,,
anther-bearing,architecture,0,116,,
antheridia,structure,1,117,,
antheriferous,architecture,0,118,,
antherozoid,structure,0,119,,
anthocarp,structure,0,120,,
anticlinal,orientation,0,121,,
antipetalous,position,0,122,,
antisepalous,position,0,123,,
antrorse,orientation,0,124,,
apart,arrangement,0,125,,
apetalous,architecture,0,126,,
apex,structure,0,127,,
aphyllous,architecture,0,128,,
apical,position,0,129,,
apicula,structure,1,130,,
apiculate,shape,0,131,,
apiculum,structure,0,132,,
apocarpous,architecture,0,133,,
apogamous,reproduction,0,134,,
apolar,architecture,0,135,,
apomictic,reproduction,0,136,,
