term,synonym,id,remark
abscising,"abscission",4,NULL
acaulescent,"acaulous",7,NULL
acute,"acuminate",34,NULL
acute,"acute-acuminate",34,NULL
acute,"acutish",34,NULL
adult,"adulthood",43,NULL
aged,"aging",53,NULL
alternate,"alternating",70,NULL
amphicarpic,"amphicarpous",75,NULL
amphistomatic,"amphistomatous",77,NULL
amphistomatic,"amphistomic",77,NULL
amplexicaul,"amplexicaulous",79,NULL
ampulla,"ampullae",81,NULL
androecia,"androecium",89,NULL
angled,"angular",99,NULL
angled,"angulate",99,NULL
annuli,"annulus",111,NULL
anthela,"anthelae",113,NULL
antheridia,"antheridium",117,NULL
apicula,"apices",130,NULL
arachnoid,"arachnose",147,NULL
archegonia,"archegonium",152,NULL
areola,"areolae",158,NULL
areola,"areole",158,NULL
aril,"arilli",160,NULL
aril,"arillus",160,NULL
arista,"aristae",164,NULL
articulate,"articulated",172,NULL
asymmetric,"asymmetrical",186,NULL
asymmetric,"asymmetrical",187,NULL
attenuate,"attentuate",190,NULL
auriculate,"auriform",192,NULL
awned,"awnlike",199,NULL
axis,"axes",205,NULL
bald,"balding",208,NULL
barbella,"barbellae",216,NULL
barbella,"barbellula",216,NULL
barbella,"barbellulae",216,NULL
barbella,"barbellule",216,NULL
barbellate,"barbellulate",217,NULL
basal,"basalmost",221,NULL
beaded,"beadlike",230,NULL
beaked,"beaklike",232,NULL
bend,"bending",240,NULL
berrylike,"berry-like",243,NULL
bicolor,"bicolorous",246,NULL
black,"blackening",266,NULL
black,"blackish",266,NULL
blotched,"blotches",277,NULL
blue,"bluish",278,NULL
blush,"blushed",280,NULL
bracteate,"bracted",293,NULL
bracteate,"bracteolate",293,NULL
branched,"branching",301,NULL
brick,"brick-red",304,NULL
bright,"brighter",308,NULL
bright,"brightest",308,NULL
bristled,"bristle-shaped",314,NULL
broad,"broadened",318,NULL
broad,"broader",318,NULL
broad,"broadest",318,NULL
broomlike,"broom-shaped",321,NULL
brown,"brownish",323,NULL
brushlike,"brushy",324,NULL
brushlike,"brushy",325,NULL
bulb,"bulbel",333,NULL
bulb,"bulbil",333,NULL
bulbiferous,"bulbiliferous",335,NULL
bulbiferous,"bulbose",335,NULL
bulbiferous,"bulbous",335,NULL
bulla,"bullae",337,NULL
bushlike,"bushy",351,NULL
callous,"calloused",361,NULL
calyx,"calyces",369,NULL
calyculus,"calyculi",365,NULL
calyptra,"calyptrae",366,NULL
capillary,"capillate",384,NULL
capilli,"capillus",385,NULL
capitate,"capitiform",387,NULL
capitula,"capitulum",388,NULL
carina,"carinae",393,NULL
carinate,"cariniform",395,NULL
carpellate,"carpelled",400,NULL
cartilage-like,"cartilaginous",404,NULL
cartilage-like,"cartilaginous",405,NULL
caryopsis,"caryopsides",408,NULL
caudex,"caudices",415,NULL
celled,"cellular",421,NULL
chalaza,"chalazae",435,NULL
chalaza,"chalazas",435,NULL
cilia,"cilium",452,NULL
cincinnus,"cincinni",457,NULL
clawed,"clawlike",474,NULL
clinandrium,"clinandria",482,NULL
close,"closer",483,NULL
clublike,"club-shaped",486,NULL
cluster,"clustered",487,NULL
cluster,"clumped",487,NULL
coarse,"coarser",490,NULL
cocci,"coccus",493,NULL
colored,"colorful",507,NULL
colored,"colors",507,NULL
colpi,"colpus",510,NULL
columella,"columellae",512,NULL
columella,"columellas",512,NULL
columnar,"columnlike",515,NULL
coma,"comae",517,NULL
coma,"comas",517,NULL
concolor,"concolorous",536,NULL
cone-shaped,"conic",542,NULL
cone-shaped,"conical",542,NULL
cone-shaped,"conoidal",542,NULL
contracted,"contracting",561,NULL
cordate,"cordiform",569,NULL
cormlike,"cormose",578,NULL
cornicula,"corniculum",583,NULL
corniculate,"corniform",584,NULL
corolla,"corollae",585,NULL
corolla,"corollas",585,NULL
corona,"coronae",588,NULL
corona,"coronas",588,NULL
coronate,"coroniform",590,NULL
corymbiform,"corymb-like",595,NULL
corymbiform,"corymbose",595,NULL
costa,"costae",596,NULL
cream,"creamy",609,NULL
crena,"crenae",611,NULL
crenate,"crenulate",612,NULL
crescent,"crescent-shaped",614,NULL
crested,"crestlike",616,NULL
crinkled,"crinkly",619,NULL
crispate,"crisped",621,NULL
crista,"cristae",622,NULL
cucullate,"cuculliform",642,NULL
cuculli,"cucullus",644,NULL
cuplike,"cup-shaped",648,NULL
cuplike,"cupulate",648,NULL
curved,"curving",651,NULL
curved,"curving",652,NULL
curled,"curly",650,NULL
cushionlike,"cushion-shaped",653,NULL
cyan,"cyanic",657,NULL
cylinders,"cylindric",664,NULL
cylinders,"cylindrical",664,NULL
cylinders,"cylindro",664,NULL
cylinders,"cylindroid",664,NULL
cymose,"cymiform",667,NULL
cymose,"cyme-like",667,NULL
cymose,"cymulose",667,NULL
cypsela,"cypselae",669,NULL
dark,"darkened",672,NULL
dark,"darkening",672,NULL
dark,"darker",672,NULL
dark,"darkest",672,NULL
darker-pink,"dark-pink",673,NULL
declined,"declinate",677,NULL
declined,"decurved",677,NULL
dehiscent,"dehiscing",689,NULL
deltate,"deltoid",693,NULL
dense,"densest",696,NULL
dentate,"denticulate",697,NULL
descend,"descending",702,NULL
developed,"developing",707,NULL
diameter,"diameters",715,NULL
dichasium,"dichasia",721,NULL
diclesium,"diclesia",726,NULL
dilate,"dilated",738,NULL
diminished,"diminishing",741,NULL
diplotegium,"diplotegia",748,NULL
disciform,"discoid",757,NULL
discolor,"discolorous",760,NULL
distal,"distalmost",768,NULL
dolabrate,"dolabriform",783,NULL
domelike,"dome-shaped",784,NULL
dorsiventral,"dorsoventral",787,NULL
dots,"dotted",790,NULL
dried,"drying",798,NULL
dull,"duller",805,NULL
dull,"dullish",805,NULL
ebracteate,"ebracteolate",819,NULL
ellipsoid,"ellipsoidal",830,NULL
ellipsoid,"elliptic",830,NULL
ellipsoid,"elliptical",830,NULL
elongated,"elongating",834,NULL
embryotega,"embryotegae",839,NULL
embryotega,"embryotegas",839,NULL
enlarged,"enlarging",848,NULL
epaleate,"epaleaete",855,NULL
epicalyx,"epicalyces",859,NULL
epidermis,"epidermides",864,NULL
epidermis,"epidermises",864,NULL
epigeal,"epigeous",865,NULL
epistomatic,"epistomatous",874,NULL
excavate,"excavated",897,NULL
expanded,"expanding",903,NULL
exsert,"exserted",906,NULL
exstipulate,"exstipitate",908,NULL
farina,"farinae",926,NULL
farina,"farinas",926,NULL
farinaceous,"farinose",927,NULL
fasciate,"fasciated",928,NULL
fascicled,"fasciculate",930,NULL
fascicled,"fasciculate",931,NULL
fascicle,"fascicles",929,NULL
featherlike,"feather-shaped",934,NULL
felted,"feltlike",936,NULL
felted,"felty",936,NULL
few,"fewer",943,NULL
female,"feminine",937,NULL
fimbria,"fimbriae",954,NULL
fimbriate,"fimbrillate",955,NULL
flabellate,"flabelliform",966,NULL
flagella,"flagellum",969,NULL
flared,"flaring",975,NULL
flat,"flattened",977,NULL
flat,"flatter",977,NULL
flat,"flatter",978,NULL
flexuose,"flexuous",987,NULL
floriferous,"flower-bearing",997,NULL
floriferous,"flowered",997,NULL
foliate,"foliolate",1006,NULL
foliate,"foliose",1006,NULL
folliceta,"follicetum",1007,NULL
fossula,"fossulae",1010,NULL
fovea,"foveae",1012,NULL
foveate,"foveolate",1013,NULL
frutex,"frutices",1029,NULL
funicle,"funiculi",1034,NULL
funicle,"funiculus",1034,NULL
funnelform,"funnel-shaped",1037,NULL
galea,"galeae",1045,NULL
galea,"galeas",1045,NULL
galeate,"galeiform",1046,NULL
gemma,"gemmae",1057,NULL
giant,"gigantic",1064,NULL
glabrate,"glabrescent",1066,NULL
glabrate,"glabrous",1066,NULL
glans,"glandes",1071,NULL
glaucescent,"glaucous",1073,NULL
glistening,"glittering",1074,NULL
globose,"globular",1075,NULL
glochid,"glochidia",1076,NULL
glochid,"glochidium",1076,NULL
glomerate,"glomerulate",1079,NULL
gold,"golden",1084,NULL
gongylodate,"gongyloid",1086,NULL
gonal,"gonous",1085,NULL
granular,"granulate",1088,NULL
granular,"granulose",1088,NULL
gray,"graying",1091,NULL
gray,"grayish",1091,NULL
green,"greener",1093,NULL
green,"greenish",1093,NULL
gynandria,"gynandrium",1101,NULL
gynaecium,"gynoecia",1100,NULL
gynaecium,"gynoecium",1100,NULL
gynostegia,"gynostegium",1109,NULL
gynostemia,"gynostemium",1110,NULL
hairlike,"hair-like",1116,NULL
hard,"hardened",1128,NULL
hard,"harder",1128,NULL
hastula,"hastulae",1132,NULL
hastula,"hastulas",1132,NULL
haustoria,"haustorium",1133,NULL
headed,"headlike",1135,NULL
headed,"headlike",1136,NULL
headed,"head-shaped",1136,NULL
hemispheric,"hemispherical",1152,NULL
hesperidia,"hesperidium",1158,NULL
hila,"hilum",1174,NULL
hirsute,"hirsutellous",1177,NULL
hirsute,"hirsutulous",1177,NULL
hirsute,"hirtellous",1177,NULL
hirsute,"hispid",1177,NULL
hirsute,"hispidulous",1177,NULL
honeycomb,"honeycombed",1187,NULL
hooked,"hook-shaped",1192,NULL
horned,"hornlike",1197,NULL
horned,"horn-shaped",1197,NULL
hypanthia,"hypanthium",1212,NULL
hypogeal,"hypogeous",1217,NULL
hypogynia,"hypogynium",1218,NULL
hypostomatic,"hypostomatous",1221,NULL
hypostomatic,"hypostomic",1221,NULL
imbricate,"imbricated",1225,NULL
inclinate,"inclined",1234,NULL
indehiscence,"indehiscent",1241,NULL
indistinct,"indistinguishable",1245,NULL
indument,"indumenta",1246,NULL
indument,"indumentum",1246,NULL
indurate,"indurated",1248,NULL
indusia,"indusium",1249,NULL
inner,"innermost",1263,NULL
keeled,"keel-shaped",1314,NULL
knobbed,"knobby",1321,NULL
