term,category,hasSyn,id,ext_id,remark
abathochroal,structure,0,1,,
acrolobe,structure,1,2,,
adult,ontogeny,1,3,,
advanced,position,0,4,,
agnostina,taxon name,0,5,,
agnostinae,taxon name,0,6,,
angularity,orientation,0,7,,
angulate,shape,0,8,,
annulation,structure,0,9,,
anopole_nus,taxon name,0,10,,
antennae,structure,0,11,,
anterior,position,0,12,,
anteroaxis,structure,0,13,,
anterolateral,position,0,14,,
aperture,structure,0,15,,
apodemal,structure,0,16,,
arcuate,shape,0,17,,
area,structure,1,18,,
arthropod,taxon name,0,19,,
arthropods,taxon name,0,20,,
axial,position,0,21,,
axiolobate,shape,0,22,,
axis,structure,0,23,,
baccula,structure,0,24,,
backswept,orientation,0,25,,
band,structure,1,26,,
basal,position,0,27,,
base,structure,1,28,,
basic,prominence,0,29,,
bella,structure,0,30,,
belliceps,taxon name,0,31,,
bending,shape,1,32,,
bertillon,surface sculpture,0,33,,
betwen,position,0,34,,
biramous,shape,0,35,,
bispinose,shape,0,36,,
body,structure,0,37,,
border,structure,1,38,,
bosses,structure,0,39,,
boundaries,structure,0,40,,
branch,structure,1,41,,
c,taxon name,0,42,,
caecal,position,0,43,,
cambrian,geological age,0,44,,
centropleura,taxon name,0,45,,
centropleuridae,taxon name,0,46,,
cephalon,structure,0,47,,
cephalothoracic,structure,0,48,,
cheek,structure,1,49,,
circumocular,structure,0,50,,
clarella,structure,0,51,,
clavat,shape,0,52,,
close,position,1,53,,
collar,structure,0,54,,
concave,shape,0,55,,
conical,shape,0,56,,
connective,structure,0,57,,
constricted,shape,0,58,,
continuous,arrangement,0,59,,
corynexochida,taxon name,0,60,,
corynexochidae,taxon name,0,61,,
cranidial,structure,0,62,,
cranidium,structure,0,63,,
cu_ticle,structure,0,64,,
culmination,structure,0,65,,
curved,shape,0,66,,
cylindrical,shape,0,67,,
d,taxon name,0,68,,
deliquiate,shape,0,69,,
denticles,structure,0,70,,
depressed,shape,0,71,,
depression,structure,1,72,,
deuterolobate,shape,0,73,,
deuterolobe,organ,0,74,,
developed,prominence,0,75,,
disc,structure,0,76,,
discontinuous,position,0,77,,
distal,position,0,78,,
ditto,structure,0,79,,
divergent,shape,0,80,,
dolerolenus,taxon name,0,81,,
dorsal,position,0,82,,
doublure,structure,0,83,,
downsloping,orientation,0,84,,
drepanopyge,taxon name,0,85,,
eccaparadoxides,taxon name,0,86,,
edge,structure,0,87,,
effaced,prominence,0,88,,
ellipsocephaloidea,taxon name,0,89,,
end,structure,1,90,,
enlargement,size,0,91,,
eodiscoid,structure,0,92,,
eoredlichia,taxon name,0,93,,
equal,size,0,94,,
exoskeleton,structure,0,95,,
expanded,size,1,96,,
extraocular,structure,0,97,,
extremities,structure,1,98,,
eye,structure,1,99,,
f1,structure,0,100,,
f2,structure,0,101,,
f3,structure,0,102,,
face,structure,0,103,,
facet,structure,1,104,,
falcate,shape,0,105,,
fallotaspidoidea,taxon name,0,106,,
field,structure,1,107,,
fixigena,structure,1,108,,
fixigenal,orientation,0,109,,
flange,structure,0,110,,
flanks,structure,0,111,,
flasklike,shape,0,112,,
fossula,structure,0,113,,
fourth,count,0,114,,
front,position,0,115,,
fulcral,position,0,116,,
fulcrum,structure,0,117,,
furrow,structure,1,118,,
galbagnostus,taxon name,0,119,,
gap,structure,0,120,,
gena,structure,1,121,,
genera,structure,0,122,,
glabellar,position,0,123,,
granule,structure,1,124,,
granulose,surface sculpture,0,125,,
groove,structure,1,126,,
half,size,0,127,,
hexagon,structure,0,128,,
hexagonal,shape,0,129,,
hindmost,position,0,130,,
holaspi,taxon name,0,131,,
holaspides,taxon name,0,132,,
holaspis,taxon name,0,133,,
holotype,structure,0,134,,
hongshiyanaspis,taxon name,0,135,,
hypagnostus,taxon name,0,136,,
hypostome,structure,0,137,,
impressed,shape,0,138,,
in_dentations,structure,0,139,,
incipient,prominence,0,140,,
incomplete,preservation,0,141,,
inella,taxon name,0,142,,
innitagnostus,taxon name,0,143,,
intergenal,position,0,144,,
interpleural,position,0,145,,
intranotular,position,0,146,,
isopygous,size,0,147,,
ivshin,structure,0,148,,
k,taxon name,0,149,,
keel,structure,0,150,,
kepingaspis,taxon name,0,151,,
kingstoniidae,taxon name,0,152,,
knobs,structure,0,153,,
l,structure,0,154,,
l1,structure,0,155,,
l2,structure,0,156,,
l3,structure,0,157,,
l4,structure,0,158,,
la,structure,0,159,,
large,size,0,160,,
least,prominence,0,161,,
lense,structure,1,162,,
librigena,structure,1,163,,
librigenal,position,0,164,,
limb,structure,1,165,,
line,structure,1,166,,
lirae,structure,0,167,,
lo,structure,0,168,,
lobe,structure,1,169,,
long,length,0,170,,
lost,prominence,0,171,,
lunate,shape,0,172,,
m1,structure,0,173,,
m2,structure,0,174,,
macropleurae,structure,0,175,,
macropleural,structure,0,176,,
macrospinose,structure,0,177,,
macu_lae,structure,0,178,,
mallagnostus,structure,0,179,,
margin,structure,1,180,,
marginal,position,0,181,,
markings,structure,0,182,,
mayiella,taxon name,0,183,,
medium,size,0,184,,
meraspi,taxon name,0,185,,
meraspis,taxon name,0,186,,
metadoxides,taxon name,0,187,,
metaredlichia,taxon name,0,188,,
middle,structure,0,189,,
midlength,position,0,190,,
midmost,position,0,191,,
moderate,size,0,192,,
modified,prominence,0,193,,
mold,structure,1,194,,
morphology,character,0,195,,
mouth,structure,0,196,,
multisegmented,segmentation,0,197,,
narrow,width,0,198,,
natant,growth form,0,199,,
no,prominence,0,200,,
node,structure,1,201,,
nonscrobiculate,surface sculpture,0,202,,
nonspinose,surface sculpture,0,203,,
notch,structure,0,204,,
notular,position,0,205,,
numbering,count,0,206,,
occipital,position,0,207,,
ocular,structure,0,208,,
olenellina,taxon name,0,209,,
olenellinid,taxon name,0,210,,
one,count,0,211,,
oodiscus,structure,0,212,,
opisthoparian,structure,0,213,,
opisthothorax,structure,0,214,,
ornament,structure,0,215,,
ovate,shape,0,216,,
pagetia,taxon name,0,217,,
pagetium,structure,0,218,,
palpebral,structure,0,219,,
papilionate,shape,0,220,,
parabadiella,taxon name,0,221,,
parabolic,shape,1,222,,
paradoublural,structure,0,223,,
paradoxididae,taxon name,0,224,,
paratype,structure,0,225,,
paratypes,structure,0,226,,
part,structure,1,227,,
perforations,structure,0,228,,
peronopsis,taxon name,0,229,,
perrostral,structure,0,230,,
piece,structure,0,231,,
pit,structure,1,232,,
pitlike,shape,0,233,,
plate,structure,0,234,,
plectrum,structure,0,235,,
pleura,structure,1,236,,
pleural,structure,0,237,,
plutonides,taxon name,0,238,,
polygon,structure,1,239,,
portion,structure,1,240,,
postaxial,position,0,241,,
posterior,position,0,242,,
posteroaxis,structure,0,243,,
preglabellar,position,0,244,,
procranidial,position,0,245,,
projection,structure,1,246,,
proparian,position,0,247,,
prosopon,structure,0,248,,
protaspi,structure,0,249,,
protaspide,structure,1,250,,
protaspis,structure,0,251,,
protrusion,structure,0,252,,
pseudagnostines,taxon name,0,253,,
pseudoborder,structure,0,254,,
pseudopalpebral,structure,0,255,,
pseudoresserops,taxon name,0,256,,
pus_tules,structure,0,257,,
pygidium,structure,1,258,,
pygidial,position,0,259,,
pygidum,structure,0,260,,
rear,position,0,261,,
rearwards,orientation,0,262,,
redlichiidae,taxon name,0,263,,
redlichia,taxon name,0,264,,
redlichiina,taxon name,0,265,,
region,structure,1,266,,
rhaptagnostoid,structure,0,267,,
rhaptagnostus,taxon name,0,268,,
rib,structure,1,269,,
ridge,structure,1,270,,
ridgelike,shape,0,271,,
rimlike,surface sculpture,0,272,,
rings,structure,0,273,,
rosette,structure,0,274,,
rostral,position,0,275,,
roundish,shape,0,276,,
s,structure,0,277,,
s2,structure,0,278,,
s3,structure,0,279,,
saukianda,taxon name,0,280,,
scrobicule,structure,1,281,,
sculpture,structure,0,282,,
section,structure,1,283,,
segment,segmentation,1,284,,
segmentation,character,0,285,,
semiankylosed,fusion,0,286,,
semicircular,shape,0,287,,
semielliptical,shape,0,288,,
serrated,surface sculpture,0,289,,
serrodiscus,taxon name,0,290,,
shaped,shape,0,291,,
shield,structure,1,292,,
short,length,0,293,,
shortened,size,0,294,,
sided,structure,0,295,,
sigmoidal,shape,0,296,,
simplimarginate,shape,0,297,,
sinuous,shape,0,298,,
size,character,0,299,,
sized,size,0,300,,
slit,structure,0,301,,
slitlike,shape,0,302,,
small,size,0,303,,
smooth,surface sculpture,0,304,,
species,structure,0,305,,
specimen,structure,1,306,,
spectaculate,shape,0,307,,
spine,structure,1,308,,
spinose,surface sculpture,0,309,,
spinulelike,shape,0,310,,
straight,shape,0,311,,
striations,structure,0,312,,
striga,structure,0,313,,
structure,character,0,314,,
subcentral,position,0,315,,
subcircular,shape,0,316,,
subfamily,structure,0,317,,
suborder,structure,0,318,,
subparallel,shape,0,319,,
subpyriform,shape,0,320,,
subquadrate,shape,0,321,,
subrounded,shape,0,322,,
subtriangular,shape,0,323,,
sulcus,structure,0,324,,
superfamily,structure,0,325,,
suture,structure,1,326,,
swelling,structure,1,327,,
tapering,shape,0,328,,
tasagnostus,taxon name,0,329,,
taxa,structure,0,330,,
terminal,position,0,331,,
terminations,structure,0,332,,
terminus,structure,0,333,,
terrace,position,0,334,,
third,count,0,335,,
thorax,structure,0,336,,
thornlike,shape,0,337,,
tip,structure,1,338,,
transverse,orientation,0,339,,
triangulaspi,taxon name,0,340,,
triangulaspis,taxon name,0,341,,
triannulate,shape,0,342,,
trifid,shape,0,343,,
trilobate,shape,0,344,,
trilobite,taxon name,0,345,,
trilobites,taxon name,0,346,,
tripartite,position,0,347,,
trisegmented,segmentation,0,348,,
tubercle,structure,1,349,,
uncalcified,surface sculpture,0,350,,
undivided,fusion,0,351,,
unfurrowed,structure,0,352,,
ushbaspis,taxon name,0,353,,
venter,structure,0,354,,
weak,prominence,0,355,,
wing,structure,1,356,,
wutingaspis,taxon name,0,357,,
yiliangella,taxon name,0,358,,
yinites,taxon name,0,359,,
yukoniidae,taxon name,0,360,,
yunnanaspis,taxon name,0,361,,
zonate,structure,0,362,,
